Activity,Location(s),Region,Required Keywords,Coin per Reward Roll,Coin per Chest Roll,Has Bird Nests,Has Gem Table,Is Underwater,Skill1,S1 Min,Skill2,S2 Min,Skill3,S3 Min,Skill4,S4 Min,Available,Base XP (S1),Base XP (S2),Base XP (S3),Base XP (S4),Base Gem Drop Rate,Has Gem Bag,Base Tokens/ Action,Base Steps,Max Gear Eff,"""Min"" Steps",Current Steps,XP/Step (S1),XP/Step (S2),XP/Step (S3),XP/Step (S4),Total XP/Step,Steps/Level (S1),Steps/Level (S2),Steps/Level (S3),Steps/Level (S4),Effective Steps/Level,Steps/Chest (each skill),S1 Steps/New Chest Item,S2 Steps/New Chest Item,S3 Steps/New Chest Item,Steps/Adventure Chest Item,Steps/Activity Item,Steps/ Collectible,Steps/New Item,Activity Item,Collectible,Steps/ Progress,Coin/1k Steps,Steps/ Token,Steps/ Gem,NameCopy,Steps/Trinket
Antique Market Assessor,Blackspell Port,GDTE,,28.5,607.892,FALSE,FALSE,FALSE,Trinketry,40,,,,,,,TRUE,225,,,,0.62264,TRUE,0,600,78,316,534,0.421,-,-,-,0.421,"25,186",-,-,-,"25,186","133,500","181,275",-,-,-,-,"534,000","135,334",-,Meteorite Fragment,"21,234",57.50,-,836,Antique Market Assessor,-
Apprentice For Loif,Frusenholm,Jarvonia,,5,94.64,FALSE,FALSE,FALSE,Crafting,1,,,,,,,TRUE,30,,,,,FALSE,0,300,75,150,240,0.125,-,-,-,0.125,"84,896",-,-,-,"84,896","60,000","81,472",-,-,-,-,-,"81,472",-,-,"41,574",22.50,-,-,Apprentice For Loif,-
Bodysurfing,Red Coast,GDTE,carpentryTool,0.93687,134.192,FALSE,FALSE,FALSE,Agility,40,,,,,,,TRUE,104,,,,,FALSE,0,109,86,55,97,1.072,-,-,-,1.072,"9,898",-,-,-,"9,898","24,250","32,928",-,-,-,"63,816",-,"21,721",Life Vest,-,"6,799",15.24,-,-,Bodysurfing,"32,357.60"
Bog Fishing (Net),Bog Top,"GDTE,Swamp","fishNet,lightSource",2.66664,71.4982,FALSE,FALSE,FALSE,Fishing,50,,,,,,,TRUE,150,,,,,FALSE,0,135,99,68,135,1.111,-,-,-,1.111,"9,551",-,-,-,"9,551","33,750","45,828",-,-,-,-,-,"45,828",-,-,"7,904",21.87,-,-,Bog Fishing (Net),-
Bog Fishing (Spear),Bog Bottom,"GDTE,Swamp","spear,lightSource",3.66663,71.4982,FALSE,FALSE,TRUE,Fishing,50,,,,,,,TRUE,150,,,,,FALSE,0,135,99,68,135,1.111,-,-,-,1.111,"9,551",-,-,-,"9,551","33,750","45,828",-,-,-,-,-,"45,828",-,-,"7,904",29.27,-,-,Bog Fishing (Spear),-
Branch Trimming,"Coldington,Mangrove Forest,Horn of Respite","Jarvonia,GDTE",,0.029,77.556,TRUE,FALSE,FALSE,Woodcutting,1,,,,,,,TRUE,9,,,,,FALSE,0,50,42,30,40,0.225,-,-,-,0.225,"47,164",-,-,-,"47,164","10,000","13,579",-,-,-,-,-,"13,579",-,-,"10,543",16.92,-,-,Branch Trimming,-
Brig Repair,Port Skildar,Jarvonia,carpentryTool,2.6651,288.336,FALSE,FALSE,FALSE,Carpentry,20,Smithing,10,,,,,TRUE,43,22,,,,FALSE,0,88,45,52,71,0.606,0.310,-,-,0.915,"17,522","34,248",-,-,"11,592","17,750","24,102","24,102",-,-,-,-,"12,051",-,-,"5,908",54.10,-,-,Brig Repair,"202,857.14"
Butterfly Catching,Warrenfield,GDTE,bugNet,3.114,135.768,FALSE,FALSE,FALSE,Foraging,40,Agility,30,,,,,TRUE,72,26,,,,FALSE,0,115,68,64,103,0.699,0.252,-,-,0.951,"15,181","42,040",-,-,"11,153","25,750","34,965","34,965",-,-,"85,833","206,000","13,568",Fireflies in a Jar,Blue Lotus Butterfly,"6,121",35.74,-,-,Butterfly Catching,"653,553.30"
Cave Diving,,Syrenthia,"pickaxe,lightSource",25.04089,387.264,FALSE,FALSE,TRUE,Mining,55,Agility,55,Foraging,55,,,FALSE,800,150,800,,,FALSE,0,1500,136,653,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cave Diving,-
Classic Skiing,Casbrant Fields,Jarvonia,skis,0,62.672,FALSE,FALSE,FALSE,Agility,5,,,,,,,TRUE,87,,,,,FALSE,0,247,25,165,198,0.439,-,-,-,0.439,"24,151",-,-,-,"24,151","49,500","67,214",-,-,-,-,-,"67,214",-,-,"17,767",1.31,-,-,Classic Skiing,-
