Have,Hide?,Item,Slot,Skill,Min Level,Work %,XP %,Plus XP,Chest %,Fine Mat %,Dbl Rewards,Dbl Action,Minus Steps,Minus Steps %,Craft Outcome,No Mats %,Bird Nest %,Find Gems %,Ad Guild Token %,Collectible %,Gain 1-10 Coins %,Roll Gem Pouch Table %,Find 1 Coin Pouch %,Res.,Res.,Keywords,Region,Underwater Only,Chest From,Chest Drop %,Activity From,Activity Drop %,Activity Drop 1/X,Item Copy,Clean Item Name,Quality / Rarity,Rarity Sort,UUID,Export Name
FALSE,FALSE,Adventuring Fishing Pole,Tool,Fishing,,,,1,12,9,3.00,2.00,,,,,,,,6,,,,,,"fishingTool,rod,adventureTool",,FALSE,Adventuring Guild,0.012500,,,-,Adventuring Fishing Pole,Adventuring Fishing Pole,uncommon,2,item-adventuring_fishing_pole-dd0f59b8-5017-4736-96ea-6292977d92ff,adventuring_fishing_pole
FALSE,FALSE,Adventuring Hatchet,Tool,Woodcutting,,,,1,12,9,,2.00,,,,,15,,,6,,,,,,"hatchet,adventureTool",,FALSE,Adventuring Guild,0.012500,,,-,Adventuring Hatchet,Adventuring Hatchet,uncommon,2,item-adventuring_hatchet-78798b0a-dc78-41ae-879b-09d60fab785b,adventuring_hatchet
FALSE,FALSE,Adventuring Pickaxe,Tool,Mining,,,,1,12,9,,2.00,,,,,,15,,6,,,,,,"pickaxe,adventureTool",,FALSE,Adventuring Guild,0.012500,,,-,Adventuring Pickaxe,Adventuring Pickaxe,uncommon,2,item-adventuring_pickaxe-8bdc772a-2599-4be0-925f-b12c356aaa7b,adventuring_pickaxe
FALSE,FALSE,Adventuring Sickle,Tool,Foraging,,,,1,12,9,3.00,2.00,,,,,,,,6,,,,,,"sickle,adventureTool,foragingTool",,FALSE,Adventuring Guild,0.012500,,,-,Adventuring Sickle,Adventuring Sickle,uncommon,2,item-adventuring_sickle-6f2b74c8-0bfa-4047-a52a-75538569e482,adventuring_sickle
FALSE,FALSE,Adventuring Frying Pan,Tool,Cooking,,,,1,15,,4.00,3.00,,,,9.00,,,,,,,,,,"pan,adventureTool",,FALSE,Adventuring Guild,0.012500,,,-,Adventuring Frying Pan,Adventuring Frying Pan,rare,3,item-adventuring_frying_pan-834dee43-eddc-44b6-94cb-5a67f3549d65,adventuring_frying_pan
FALSE,FALSE,Adventuring Hammer,Tool,Smithing,,,,1,15,,3.00,2.00,,,15,7.00,,,,,,,,,,"hammer,adventureTool",,FALSE,Adventuring Guild,0.005000,,,-,Adventuring Hammer,Adventuring Hammer,rare,3,item-adventuring_hammer-066ce6ec-c557-4805-9b4c-986eeef3e451,adventuring_hammer
FALSE,FALSE,Adventuring Sander,Tool,Trinketry,,,,1,15,,3.00,2.00,,,15,7.00,,,,,,,,,,"sander,adventureTool",,FALSE,Adventuring Guild,0.005000,,,-,Adventuring Sander,Adventuring Sander,rare,3,item-adventuring_sander-808e33f5-f2dd-4dc5-8228-7a1fe58e31e5,adventuring_sander
FALSE,FALSE,Adventuring Saw,Tool,Carpentry,,,,1,15,,4.00,3.00,,,,9.00,,,,,,,,,,"carpentryTool,saw,adventureTool",,FALSE,Adventuring Guild,0.005000,,,-,Adventuring Saw,Adventuring Saw,rare,3,item-adventuring_saw-31034334-6858-464a-ab0a-2bcc7a8e5643,adventuring_saw
FALSE,FALSE,Adventuring Wrench,Tool,Crafting,,,,1,15,,3.00,2.00,,,15,7.00,,,,,,,,,,"wrench,adventureTool,craftingTool",,FALSE,Adventuring Guild,0.005000,,,-,Adventuring Wrench,Adventuring Wrench,rare,3,item-adventuring_wrench-fff65b09-d98c-4a26-981d-e36c09c61ab2,adventuring_wrench
FALSE,FALSE,Adventuring Amulet (Base),Neck,Global,,,,,,,,,,,,,,,1.0,,,,,,,,,FALSE,Adventuring Guild,0.003750,,,-,Adventuring Amulet (Base),Adventuring Amulet,epic,4,item-adventurer's_amulet-8d65c47c-5221-4669-89c7-749d80be00bd,adventuring_amulet
